安德思	Ān Désī	a man from Honduras
羅珊蒂	Luó Shāndì	a woman from Indonesia
何雅婷	Hé Yǎtíng	a woman from Taiwan
開學	kāixué	(Vp) (school) to start
班	bān	(N) class, i.e., the students (not the classroom or the course)
新生	xīnshēng	(N) new student
嚴	yán	(Vs) strict, stern
口試	kǒushì	(N) oral test
筆試	bǐshì	(N) written test
以外	yǐwài	(N) except, other than
口頭	kǒutóu	(Vs-attr) verbal, oral
報告	bàogào	(N) report
壓力	yālì	(N) pressure, stress
說明	shuōmíng	(N) instructions, explanation
清楚	qīngchǔ	(Vs) clear(ly)
位子	wèizi	(N) seat, place
旁聽	pángtīng	(V) to audit,to sit in (on a class)
分	fēn	(N) points
羨慕	xiànmù	(Vst) to envy
休學	xiūxué	(Vp-sep) to take a break from school
用功	yònggōng	(Vs) diligent, conscientious (as a student)
行	xíng	(Vs) to be all right
轉	zhuǎn	(V) to transfer (to a different major)
原來	yuánlái	(Adv) originally
會計	kuàijì	(N) accounting, an accountant
熱門	rèmén	(Vs) highly popular
熬夜	áoyè	(V-sep) to stay up all night, to burn the midnight oil
當	dàng	(V) to fail a course
恐怕	kǒngpà	(Adv) (I am) afraid that, probably
口才	kǒucái	(N) speaking skills
事	shì	(N) issue, matter, event, thing
遲到	chídào	(Vp) to be late (in arrival)
差一點	chà yì diǎn	barely, nearly, almost
這樣下去	zhèyàng xiàqù	if it goes on like this
沒辦法	méi bànfǎ	there's no way, there's nothing that can be done'
獨生女	dúshēngnǚ	(N) only child (girl)
私立	sīlì	(Vs-attr) private
理想	lǐxiǎng	(Vs) ideal, aspired
合	hé	(Vst) to tally with, to match
痛苦	tòngkǔ	(Vs) painful
科系	kēxì	(N) (academic) department
放棄	fàngqì	(V) to give up
不管	bùguǎn	(Conj) no matter, regardless of
反對	fǎnduì	(Vst) to oppose, to be against
個性	gèxìng	(N) personality
活潑	huópō	(Vs) lively, bubbly, vivacious
外語	wàiyǔ	(N) foreign language
擔心	dānxīn	(Vst) to worry about, to fret over with
填	tián	(V) to fill out (a form)
表	biǎo	(N) a form
辦	bàn	(V) to deal with
手續	shǒuxù	(N) procedures
申請	shēnqǐng	(V) to apply for
成績單	chéngjī dān	(N) report card, transcripts
考上	kǎoshàng	to test into
推薦信	tuījiàn xìn	a letter of recommendation
起	qǐ	(Vp) starting from
外套	wàitào	(N) coat, jacket
一般	yìbān	(Adv) generally; in general
商品	shāngpǐn	(N) goods, commodities
折扣	zhékòu	(N) discount
省	shěng	(V) to save, to put away
牌子	páizi	(N) brand
品質	pǐnzhí	(N) quality
選擇	xuǎnzé	(N) choices
樣子	yàngzi	(N) appearance, looks
摸	mō	(V) to feel, to touch
店員	diànyuán	(N) salesperson, store employee, clerk
短	duǎn	(Vs) short
羊毛	yángmáo	(N) lamb's wool'
暖和	nuǎnhuo	(Vs) warm
打折	dǎzhé	(V-sep) to offer a discount
原價	yuánjià	(N) original price
刷卡	shuākǎ	(V-sep) to swipe, i.e., use a credit card
現金	xiànjīn	(N) cash
麻煩	máfán	(V) please (lit. allow me to trouble you)
簽名	qiānmíng	(V-sep) to sign
破洞	pòdòng	(Vp-sep) to have a hole
發票	fāpiào	(N) receipt
弄	nòng	(V) (pro-verb) to cause, to do
退	tuì	(V) to return (purchases)
換	huàn	(V) to exchange
店長	diànzhǎng	(N) store manager
週年慶	zhōunián qìng	anniversary
一般來說	yìbān láishuō	generally speaking
試穿	shì chuān	to try on (garments)
打完折	dǎ wán zhé	after discount
弄丟	nòng diū	to lose
購物	gòuwù	(Vi) to go shopping
糾紛	jiūfēn	(N) dispute
電信	diànxìn	(N) telecommunications
門市	ménshì	(N) retail outlet
居留證	jūliúzhèng	(N) Alien Resident Certificate (ARC in Taiwan)
月租型	yuèzūxíng	(N) a monthly plan
帳單	zhàngdān	(N) bill
並	bìng	(Adv) contrary to assumption (followed by a negative statement)
包括	bāokuò	(V) to include
解釋	jiěshì	(N) explanation
顧客	gùkè	(N) customer
尤其	yóuqí	(Adv) especially, in particular
騙	piàn	(V) to cheat, to swindle
頓	dùn	(M) verbal measure word for a duration of action
辦法	bànfǎ	(N) solution
自動	zìdòng	(Adv) by itself, on its own, automatically
關機	guānjī	(Vp-sep) to turn off, to shut down
修理	xiūlǐ	(V) to repair
繳費	jiǎofèi	(V-sep) to pay a fee
預付卡	yùfù kǎ	prepaid SIM card
換成	huàn chéng	to change to
吃到飽	chī dào bǎo	unlimited data (lit. all you can eat)
嚇一跳	xià yí tiào	shocked, startled, taken aback
客服中心	kèfú zhōngxīn	customer service center
陳敏萱	Chén Mǐnxuān	A woman from the Netherlands
高橋健太	Gāoqiáo Jiàntài	A man from Japan
空氣	kōngqì	(N) air
影響	yǐngxiǎng	(N) influence
穩定	wěndìng	(Vs) stable
幸虧	xìngkuī	(Adv) fortunately
躲	duǒ	(Vi) to hide, to go into hiding
度	dù	(M) degree
溫度	wēndù	(N) temperature
零下	língxià	(Vs-attr) below zero
