小玲	Xiǎolíng	Xiaoling, female
阿建	Ājiàn	Ajian, male
聊天室	liáotiānshì	(N) chatroom ( 室 -shì, room)
上班族	shàngbānzú	(N) (office) workers ( 族 -zú, group)
與其	yǔqí	(Conj) rather than
冷清	lěngqīng	(Vs) deserted, empty
高就	gāojiù	(Vi) to work (honorific)
部門	bùmén	(N) department
厲害	lìhài	(Vs) impressive, good, awesome
加班	jiābān	(V-sep) to work overtime
類	lèi	(M) kind, type
恐怖片	kǒngbùpiàn	(N) horror movie ( 恐怖 kǒngbù, scary; 片 -piàn, film)
愛情片	àiqíngpiàn	(N) love story or romance movie ( 愛情 àiqíng, love)
嚇	xià	(Vp) to be scared
哭	kū	(V) to cry
上癮	shàngyǐn	(Vp) to get hooked on, addicted
刺激	cìjī	(Vs) stimulating
簡直	jiǎnzhí	(Adv) simply, really
膽子	dǎnzi	(N) guts, courage
部	bù	(M) measure word for movies
限制級	xiànzhìjí	(N) restricted (viewing for movies) ( 限制 xiànzhì, restricted; 級 -jí, level)
電影院	diànyǐngyuàn	(N) cinema, movie theater
呃	è	(Ptc) uh, interjection indicating embarrassment
建設公司	jiànshè gōngsī	construction company
業務經理	yèwù jīnglǐ	business manager
室內設計	shìnèi shèjì	interior design
溫暖	wēnnuǎn	(Vs) warm
目前	mùqián	(Adv) currently
所	suǒ	(M) measure word for schools
就讀	jiùdú	(Vi) to be enrolled as a student
不至於	búzhìyú	(Adv) not so, not to that degree, not so much that
但	dàn	(Conj) but, however (formal)
放學	fàngxué	(Vp) after school, when school lets out
後	hòu	(N) afterwards (formal)
解決	jiějué	(V) to take care
寂寞	jímò	(Vs) lonely
網友	wǎngyǒu	(N) online friends
陪伴	péibàn	(V) to keep somebody company
電腦	diànnǎo	(N) computer
進入	jìnrù	(V) to enter
線上	xiànshàng	(N) online
感情	gǎnqíng	(N) emotions, feelings, love
小氣	xiǎoqì	(Vs) to be stingy
時	shí	(N) when (formal)
往往	wǎngwǎng	(Adv) oftentimes, generally
打氣	dǎqì	(Vi) to cheer on/up
安慰	ānwèi	(V) to comfort
心裡	xīnlǐ	(N) in (one's) mind'
大膽	dàdǎn	(Vs) to be bold, courageous
紓解	shūjiě	(V) to relieve
轉換	zhuǎnhuàn	(V) to change, transform
虛擬	xūnǐ	(Vs-attr) virtual
現實	xiànshí	(Vs) actual, real
心理	xīnlǐ	(N) psychological, mental
即使	jíshǐ	(Conj) even if, even though
責備	zébèi	(V) to reproach, get on somebody's case'
期待	qídài	(N) expectations
喘氣	chuǎnqì	(V-sep) to gasp, pant
自在	zìzài	(Vs) to be at ease, relaxed
交友	jiāoyǒu	(Vi) to make friends (with)
暴力	bàolì	(N) violence
點	diǎn	(V) to click (on)
懂得	dǒngde	(Vst) to know how to
陷阱	xiànjǐng	(N) trap, snare
明星高中	míngxīng gāozhōng	distinguished ,exclusive high school
早出晚歸	zǎochū wǎnguī	to leave home early and get home late
打開	dǎkāi	to turn on, to power on
喘不過氣	chuǎnbúguò qì	to be under great pressure, (lit.) unable to breathe
躲進	duǒjìn	to hide oneself in
掉進	diàojìn	to fall into
李雲真	Lǐ Yúnzhēn	Li Yunzhen, female
眼睛	yǎnjīng	(N) eye
耳朵	ěrduo	(N) ear
